step,body,x,y,z,energy
390,0,3.229768e+03,2.923971e+02,1.375916e+02,-1.861512e+32
390,1,2.178468e+11,6.056831e+10,2.850129e+10,-1.861512e+32
396,0,3.328886e+03,3.060057e+02,1.439954e+02,-1.861518e+32
396,1,2.175383e+11,6.146936e+10,2.892528e+10,-1.861518e+32
402,0,3.429467e+03,3.200281e+02,1.505938e+02,-1.861525e+32
402,1,2.172252e+11,6.236911e+10,2.934868e+10,-1.861525e+32
408,0,3.531508e+03,3.344705e+02,1.573899e+02,-1.861531e+32
408,1,2.169076e+11,6.326756e+10,2.977146e+10,-1.861531e+32
414,0,3.635008e+03,3.493387e+02,1.643863e+02,-1.861538e+32
414,1,2.165854e+11,6.416469e+10,3.019361e+10,-1.861538e+32
420,0,3.739964e+03,3.646390e+02,1.715861e+02,-1.861544e+32
420,1,2.162587e+11,6.506047e+10,3.061513e+10,-1.861544e+32
426,0,3.846374e+03,3.803772e+02,1.789919e+02,-1.861551e+32
426,1,2.159275e+11,6.595488e+10,3.103601e+10,-1.861551e+32
432,0,3.954236e+03,3.965594e+02,1.866067e+02,-1.861557e+32
432,1,2.155917e+11,6.684791e+10,3.145624e+10,-1.861557e+32
438,0,4.063547e+03,4.131916e+02,1.944332e+02,-1.861564e+32
438,1,2.152515e+11,6.773955e+10,3.187581e+10,-1.861564e+32
444,0,4.174306e+03,4.302798e+02,2.024743e+02,-1.861570e+32
444,1,2.149067e+11,6.862976e+10,3.229471e+10,-1.861570e+32
450,0,4.286509e+03,4.478300e+02,2.107328e+02,-1.861577e+32
450,1,2.145575e+11,6.951854e+10,3.271294e+10,-1.861577e+32
456,0,4.400155e+03,4.658482e+02,2.192115e+02,-1.861583e+32
456,1,2.142037e+11,7.040585e+10,3.313048e+10,-1.861583e+32
462,0,4.515241e+03,4.843402e+02,2.279132e+02,-1.861589e+32
462,1,2.138455e+11,7.129170e+10,3.354733e+10,-1.861589e+32
468,0,4.631765e+03,5.033122e+02,2.368408e+02,-1.861596e+32
468,1,2.134828e+11,7.217605e+10,3.396347e+10,-1.861596e+32
474,0,4.749724e+03,5.227700e+02,2.459969e+02,-1.861602e+32
474,1,2.131156e+11,7.305888e+10,3.437890e+10,-1.861602e+32
480,0,4.869116e+03,5.427196e+02,2.553845e+02,-1.861609e+32
480,1,2.127440e+11,7.394019e+10,3.479361e+10,-1.861609e+32
486,0,4.989938e+03,5.631668e+02,2.650062e+02,-1.861615e+32
486,1,2.123679e+11,7.481995e+10,3.520760e+10,-1.861615e+32
492,0,5.112189e+03,5.841177e+02,2.748649e+02,-1.861622e+32
492,1,2.119874e+11,7.569814e+10,3.562084e+10,-1.861622e+32
498,0,5.235864e+03,6.055781e+02,2.849634e+02,-1.861628e+32
498,1,2.116025e+11,7.657474e+10,3.603334e+10,-1.861628e+32
504,0,5.360962e+03,6.275539e+02,2.953044e+02,-1.861635e+32
504,1,2.112131e+11,7.744974e+10,3.644508e+10,-1.861635e+32
510,0,5.487480e+03,6.500509e+02,3.058907e+02,-1.861641e+32
510,1,2.108193e+11,7.832312e+10,3.685606e+10,-1.861641e+32
516,0,5.615416e+03,6.730752e+02,3.167251e+02,-1.861648e+32
516,1,2.104210e+11,7.919486e+10,3.726627e+10,-1.861648e+32
522,0,5.744766e+03,6.966324e+02,3.278103e+02,-1.861654e+32
522,1,2.100184e+11,8.006493e+10,3.767570e+10,-1.861654e+32
528,0,5.875529e+03,7.207285e+02,3.391491e+02,-1.861661e+32
528,1,2.096114e+11,8.093333e+10,3.808434e+10,-1.861661e+32
534,0,6.007700e+03,7.453694e+02,3.507442e+02,-1.861667e+32
534,1,2.092000e+11,8.180004e+10,3.849218e+10,-1.861667e+32
540,0,6.141278e+03,7.705607e+02,3.625984e+02,-1.861674e+32
540,1,2.087842e+11,8.266503e+10,3.889921e+10,-1.861674e+32
546,0,6.276260e+03,7.963085e+02,3.747143e+02,-1.861680e+32
546,1,2.083640e+11,8.352829e+10,3.930543e+10,-1.861680e+32
552,0,6.412643e+03,8.226184e+02,3.870948e+02,-1.861687e+32
552,1,2.079395e+11,8.438980e+10,3.971082e+10,-1.861687e+32
558,0,6.550423e+03,8.494962e+02,3.997426e+02,-1.861693e+32
558,1,2.075107e+11,8.524954e+10,4.011539e+10,-1.861693e+32
564,0,6.689599e+03,8.769478e+02,4.126603e+02,-1.861700e+32
564,1,2.070774e+11,8.610749e+10,4.051911e+10,-1.861700e+32
570,0,6.830167e+03,9.049788e+02,4.258507e+02,-1.861706e+32
570,1,2.066399e+11,8.696365e+10,4.092199e+10,-1.861706e+32
576,0,6.972125e+03,9.335952e+02,4.393165e+02,-1.861713e+32
576,1,2.061980e+11,8.781798e+10,4.132400e+10,-1.861713e+32
582,0,7.115468e+03,9.628025e+02,4.530605e+02,-1.861719e+32
582,1,2.057519e+11,8.867047e+10,4.172515e+10,-1.861719e+32
588,0,7.260195e+03,9.926066e+02,4.670852e+02,-1.861726e+32
588,1,2.053014e+11,8.952110e+10,4.212543e+10,-1.861726e+32
594,0,7.406303e+03,1.023013e+03,4.813934e+02,-1.861732e+32
594,1,2.048466e+11,9.036986e+10,4.252483e+10,-1.861732e+32
600,0,7.553787e+03,1.054028e+03,4.959878e+02,-1.861739e+32
600,1,2.043875e+11,9.121672e+10,4.292333e+10,-1.861739e+32
606,0,7.702646e+03,1.085656e+03,5.108711e+02,-1.861745e+32
606,1,2.039242e+11,9.206168e+10,4.332094e+10,-1.861745e+32
612,0,7.852875e+03,1.117904e+03,5.260459e+02,-1.861752e+32
612,1,2.034565e+11,9.290470e+10,4.371763e+10,-1.861752e+32
618,0,8.004473e+03,1.150778e+03,5.415149e+02,-1.861758e+32
618,1,2.029847e+11,9.374578e+10,4.411342e+10,-1.861758e+32
624,0,8.157435e+03,1.184282e+03,5.572807e+02,-1.861765e+32
624,1,2.025085e+11,9.458490e+10,4.450827e+10,-1.861765e+32
630,0,8.311759e+03,1.218422e+03,5.733461e+02,-1.861771e+32
630,1,2.020282e+11,9.542203e+10,4.490220e+10,-1.861771e+32
636,0,8.467441e+03,1.253205e+03,5.897136e+02,-1.861778e+32
636,1,2.015436e+11,9.625717e+10,4.529518e+10,-1.861778e+32
642,0,8.624478e+03,1.288636e+03,6.063860e+02,-1.861784e+32
642,1,2.010548e+11,9.709029e+10,4.568722e+10,-1.861784e+32
648,0,8.782867e+03,1.324720e+03,6.233658e+02,-1.861791e+32
648,1,2.005618e+11,9.792137e+10,4.607830e+10,-1.861791e+32
654,0,8.942604e+03,1.361462e+03,6.406556e+02,-1.861797e+32
654,1,2.000646e+11,9.875041e+10,4.646841e+10,-1.861797e+32
660,0,9.103686e+03,1.398870e+03,6.582582e+02,-1.861804e+32
660,1,1.995632e+11,9.957737e+10,4.685756e+10,-1.861804e+32
666,0,9.266110e+03,1.436947e+03,6.761760e+02,-1.861810e+32
666,1,1.990576e+11,1.004023e+11,4.724571e+10,-1.861810e+32
672,0,9.429872e+03,1.475700e+03,6.944118e+02,-1.861817e+32
672,1,1.985479e+11,1.012250e+11,4.763288e+10,-1.861817e+32
678,0,9.594969e+03,1.515134e+03,7.129681e+02,-1.861823e+32
678,1,1.980340e+11,1.020457e+11,4.801906e+10,-1.861823e+32
684,0,9.761397e+03,1.555255e+03,7.318476e+02,-1.861830e+32
684,1,1.975159e+11,1.028642e+11,4.840422e+10,-1.861830e+32
690,0,9.929153e+03,1.596068e+03,7.510527e+02,-1.861836e+32
690,1,1.969938e+11,1.036806e+11,4.878838e+10,-1.861836e+32
696,0,1.009823e+04,1.637579e+03,7.705862e+02,-1.861843e+32
696,1,1.964675e+11,1.044948e+11,4.917151e+10,-1.861843e+32
702,0,1.026864e+04,1.679793e+03,7.904505e+02,-1.861849e+32
702,1,1.959371e+11,1.053068e+11,4.955361e+10,-1.861849e+32
708,0,1.044035e+04,1.722715e+03,8.106482e+02,-1.861856e+32
708,1,1.954026e+11,1.061166e+11,4.993467e+10,-1.861856e+32
714,0,1.061339e+04,1.766352e+03,8.311820e+02,-1.861862e+32
714,1,1.948640e+11,1.069242e+11,5.031469e+10,-1.861862e+32
720,0,1.078773e+04,1.810708e+03,8.520543e+02,-1.861869e+32
720,1,1.943213e+11,1.077295e+11,5.069365e+10,-1.861869e+32
726,0,1.096338e+04,1.855788e+03,8.732677e+02,-1.861875e+32
726,1,1.937746e+11,1.085326e+11,5.107155e+10,-1.861875e+32
732,0,1.114033e+04,1.901600e+03,8.948248e+02,-1.861882e+32
732,1,1.932238e+11,1.093334e+11,5.144838e+10,-1.861882e+32
