step,body,x,y,z,energy
296,1,5.234420e+10,2.458221e+10,3.018316e+09,-3.786130e+32
300,0,9.481728e+02,1.421742e+02,1.745680e+01,-3.786163e+32
300,1,5.219584e+10,2.489095e+10,3.056224e+09,-3.786163e+32
304,0,9.731027e+02,1.478686e+02,1.815598e+01,-3.786197e+32
304,1,5.204562e+10,2.519880e+10,3.094023e+09,-3.786197e+32
308,0,9.983387e+02,1.537114e+02,1.887339e+01,-3.786230e+32
308,1,5.189356e+10,2.550575e+10,3.131713e+09,-3.786230e+32
312,0,1.023880e+03,1.597044e+02,1.960924e+01,-3.786264e+32
312,1,5.173967e+10,2.581180e+10,3.169291e+09,-3.786264e+32
316,0,1.049725e+03,1.658495e+02,2.036376e+01,-3.786297e+32
316,1,5.158394e+10,2.611694e+10,3.206757e+09,-3.786297e+32
320,0,1.075874e+03,1.721484e+02,2.113717e+01,-3.786331e+32
320,1,5.142638e+10,2.642114e+10,3.244109e+09,-3.786331e+32
324,0,1.102324e+03,1.786030e+02,2.192969e+01,-3.786364e+32
324,1,5.126700e+10,2.672441e+10,3.281345e+09,-3.786364e+32
328,0,1.129077e+03,1.852149e+02,2.274153e+01,-3.786398e+32
328,1,5.110581e+10,2.702673e+10,3.318466e+09,-3.786398e+32
332,0,1.156130e+03,1.919861e+02,2.357293e+01,-3.786431e+32
332,1,5.094280e+10,2.732810e+10,3.355468e+09,-3.786431e+32
336,0,1.183482e+03,1.989182e+02,2.442408e+01,-3.786465e+32
336,1,5.077799e+10,2.762849e+10,3.392352e+09,-3.786465e+32
340,0,1.211133e+03,2.060130e+02,2.529522e+01,-3.786498e+32
340,1,5.061138e+10,2.792790e+10,3.429115e+09,-3.786498e+32
344,0,1.239081e+03,2.132723e+02,2.618655e+01,-3.786532e+32
344,1,5.044298e+10,2.822632e+10,3.465756e+09,-3.786532e+32
348,0,1.267326e+03,2.206979e+02,2.709830e+01,-3.786565e+32
348,1,5.027279e+10,2.852374e+10,3.502275e+09,-3.786565e+32
352,0,1.295867e+03,2.282915e+02,2.803067e+01,-3.786599e+32
352,1,5.010082e+10,2.882014e+10,3.538669e+09,-3.786599e+32
356,0,1.324702e+03,2.360548e+02,2.898388e+01,-3.786632e+32
356,1,4.992708e+10,2.911553e+10,3.574937e+09,-3.786632e+32
360,0,1.353831e+03,2.439895e+02,2.995815e+01,-3.786666e+32
360,1,4.975156e+10,2.940988e+10,3.611079e+09,-3.786666e+32
364,0,1.383252e+03,2.520975e+02,3.095368e+01,-3.786699e+32
364,1,4.957429e+10,2.970319e+10,3.647093e+09,-3.786699e+32
368,0,1.412965e+03,2.603804e+02,3.197070e+01,-3.786733e+32
368,1,4.939526e+10,2.999544e+10,3.682977e+09,-3.786733e+32
372,0,1.442968e+03,2.688400e+02,3.300940e+01,-3.786766e+32
372,1,4.921447e+10,3.028663e+10,3.718730e+09,-3.786766e+32
376,0,1.473260e+03,2.774779e+02,3.407000e+01,-3.786800e+32
376,1,4.903195e+10,3.057674e+10,3.754352e+09,-3.786800e+32
380,0,1.503841e+03,2.862959e+02,3.515272e+01,-3.786833e+32
380,1,4.884769e+10,3.086577e+10,3.789840e+09,-3.786833e+32
384,0,1.534709e+03,2.952957e+02,3.625775e+01,-3.786867e+32
384,1,4.866169e+10,3.115370e+10,3.825194e+09,-3.786867e+32
388,0,1.565863e+03,3.044789e+02,3.738531e+01,-3.786900e+32
388,1,4.847398e+10,3.144053e+10,3.860412e+09,-3.786900e+32
392,0,1.597302e+03,3.138473e+02,3.853560e+01,-3.786934e+32
392,1,4.828454e+10,3.172624e+10,3.895493e+09,-3.786934e+32
396,0,1.629025e+03,3.234025e+02,3.970883e+01,-3.786967e+32
396,1,4.809340e+10,3.201083e+10,3.930436e+09,-3.786967e+32
400,0,1.661030e+03,3.331462e+02,4.090521e+01,-3.787001e+32
400,1,4.790055e+10,3.229428e+10,3.965239e+09,-3.787001e+32
404,0,1.693318e+03,3.430801e+02,4.212493e+01,-3.787034e+32
404,1,4.770600e+10,3.257658e+10,3.999902e+09,-3.787034e+32
408,0,1.725886e+03,3.532058e+02,4.336821e+01,-3.787068e+32
408,1,4.750977e+10,3.285773e+10,4.034422e+09,-3.787068e+32
412,0,1.758733e+03,3.635250e+02,4.463525e+01,-3.787101e+32
412,1,4.731185e+10,3.313772e+10,4.068800e+09,-3.787101e+32
416,0,1.791858e+03,3.740393e+02,4.592625e+01,-3.787135e+32
416,1,4.711226e+10,3.341652e+10,4.103033e+09,-3.787135e+32
420,0,1.825260e+03,3.847504e+02,4.724141e+01,-3.787168e+32
420,1,4.691099e+10,3.369415e+10,4.137121e+09,-3.787168e+32
424,0,1.858938e+03,3.956599e+02,4.858093e+01,-3.787202e+32
424,1,4.670807e+10,3.397057e+10,4.171062e+09,-3.787202e+32
428,0,1.892891e+03,4.067694e+02,4.994501e+01,-3.787235e+32
428,1,4.650349e+10,3.424579e+10,4.204855e+09,-3.787235e+32
432,0,1.927117e+03,4.180806e+02,5.133385e+01,-3.787269e+32
432,1,4.629726e+10,3.451980e+10,4.238498e+09,-3.787269e+32
436,0,1.961615e+03,4.295951e+02,5.274764e+01,-3.787302e+32
436,1,4.608939e+10,3.479258e+10,4.271992e+09,-3.787302e+32
440,0,1.996384e+03,4.413144e+02,5.418660e+01,-3.787336e+32
440,1,4.587989e+10,3.506413e+10,4.305333e+09,-3.787336e+32
444,0,2.031423e+03,4.532402e+02,5.565090e+01,-3.787369e+32
444,1,4.566877e+10,3.533443e+10,4.338522e+09,-3.787369e+32
448,0,2.066730e+03,4.653741e+02,5.714075e+01,-3.787403e+32
